# phi3  fes
-3.141592653589793116e+00 2.520011330178938280e+01
-3.078760800517997165e+00 2.232109287175369161e+01
-3.015928947446201214e+00 1.972581365622048466e+01
-2.953097094374405707e+00 1.735931717502706917e+01
-2.890265241302609756e+00 1.521184097294939441e+01
-2.827433388230813804e+00 1.332466096713339887e+01
-2.764601535159017853e+00 1.173697487330849221e+01
-2.701769682087221902e+00 1.043229951046324189e+01
-2.638937829015426395e+00 9.348767981963534979e+00
-2.576105975943630444e+00 8.427246046420108883e+00
-2.513274122871834493e+00 7.642983286036479917e+00
-2.450442269800038542e+00 6.996619646319271801e+00
-2.387610416728242591e+00 6.488494062354910774e+00
-2.324778563656447083e+00 6.107661152928247184e+00
-2.261946710584650688e+00 5.822671250071248750e+00
-2.199114857512855181e+00 5.574169640948340998e+00
-2.136283004441059230e+00 5.295939920537553469e+00
-2.073451151369263279e+00 4.951708093691205015e+00
-2.010619298297467772e+00 4.542845554068533964e+00
-1.947787445225671599e+00 4.073688515667036825e+00
-1.884955592153875870e+00 3.535796519740768584e+00
-1.822123739082079918e+00 2.938907957000951310e+00
-1.759291886010283967e+00 2.319148375428068842e+00
-1.696460032938488238e+00 1.712552609900843015e+00
-1.633628179866692287e+00 1.148470108169485249e+00
-1.570796326794896336e+00 6.583502503180608256e-01
-1.507964473723100607e+00 2.767283285872026433e-01
-1.445132620651304656e+00 4.193517176073067315e-02
-1.382300767579508705e+00 0.000000000000000000e+00
-1.319468914507712975e+00 2.019951180935025126e-01
-1.256637061435917024e+00 6.887439060920594880e-01
-1.193805208364121295e+00 1.473674592793444704e+00
-1.130973355292325344e+00 2.541758468040248520e+00
-1.068141502220529393e+00 3.870597308803666259e+00
-1.005309649148733442e+00 5.456212823869735828e+00
-9.424777960769379348e-01 7.308929513404835987e+00
-8.796459430051419837e-01 9.419117107535138089e+00
-8.168140899333460325e-01 1.174263423321807664e+01
-7.539822368615500814e-01 1.422490936363069203e+01
-6.911503837897541302e-01 1.681724393306956600e+01
-6.283185307179586232e-01 1.946274640488859475e+01
-5.654866776461626721e-01 2.210268609812543517e+01
-5.026548245743667209e-01 2.473188989596981813e+01
-4.398229715025707698e-01 2.741381158116566752e+01
-3.769911184307748186e-01 3.016452806038753920e+01
-3.141592653589788675e-01 3.283294291626694417e+01
-2.513274122871833605e-01 3.516200629152823609e+01
-1.884955592153874093e-01 3.694580707724978197e+01
-1.256637061435914582e-01 3.810021062655116708e+01
-6.283185307179550705e-02 3.864040903648615455e+01
4.440892098500626162e-16 3.859975337074602919e+01
6.283185307179595114e-02 3.797988506479033788e+01
1.256637061435919023e-01 3.679045524818169355e+01
1.884955592153878534e-01 3.508491453913986646e+01
2.513274122871838046e-01 3.291817109064945157e+01
3.141592653589797557e-01 3.035526470323437565e+01
3.769911184307757068e-01 2.756264187546551270e+01
4.398229715025712139e-01 2.476348954286724435e+01
5.026548245743671650e-01 2.209874369679145900e+01
5.654866776461631162e-01 1.959320360246248072e+01
6.283185307179590673e-01 1.722198722954592043e+01
6.911503837897550184e-01 1.499571672730648153e+01
7.539822368615505255e-01 1.299934443417689245e+01
8.168140899333464766e-01 1.135269487128788768e+01
8.796459430051424278e-01 1.014079680506233849e+01
9.424777960769379348e-01 9.385610315761836020e+00
1.005309649148734330e+00 9.070765289378957874e+00
1.068141502220529837e+00 9.188389293625057519e+00
1.130973355292326232e+00 9.763174080963443302e+00
1.193805208364121739e+00 1.082188355248077549e+01
1.256637061435917246e+00 1.235095258991227851e+01
1.319468914507713642e+00 1.431094617716143169e+01
1.382300767579509149e+00 1.668428741912237356e+01
1.445132620651305544e+00 1.948689155625834957e+01
1.507964473723101051e+00 2.275228068746245214e+01
1.570796326794896558e+00 2.649549930408444709e+01
1.633628179866692953e+00 3.060110164630330232e+01
1.696460032938488460e+00 3.475925010011907546e+01
1.759291886010284856e+00 3.867514673346729381e+01
1.822123739082080363e+00 4.224642575300694602e+01
1.884955592153875870e+00 4.540785813579521601e+01
1.947787445225672265e+00 4.821374895279249273e+01
2.010619298297467772e+00 5.102247111880704011e+01
2.073451151369264167e+00 5.409605465078355735e+01
2.136283004441059674e+00 5.709712252862712489e+01
2.199114857512856069e+00 5.908311034029917153e+01
2.261946710584651576e+00 5.955520146512628088e+01
2.324778563656447083e+00 5.940906903758755675e+01
2.387610416728243479e+00 5.967203206073526189e+01
2.450442269800038986e+00 6.044312467925440302e+01
2.513274122871835381e+00 6.082430217256552396e+01
2.576105975943630888e+00 5.907792874700256647e+01
2.638937829015426395e+00 5.493507951240847120e+01
2.701769682087222790e+00 5.022313347153566809e+01
2.764601535159018297e+00 4.601660030925208389e+01
2.827433388230814693e+00 4.235828374893898030e+01
2.890265241302610200e+00 3.893802591125072610e+01
2.953097094374405707e+00 3.546593600252983691e+01
3.015928947446202102e+00 3.189549441070891689e+01
3.078760800517997609e+00 2.840949754438675612e+01
3.141592653589793116e+00 2.520011346672866281e+01
